Column1,EPISODE_ID,EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,END_DATE_TIME,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
900,160301,968765,NEVADA,2021,August,Flash Flood,8/2/21 6:00,800.00K,0.00K,Department of Highways,Heavy Rain,SE,LAMOILLE,6,LAMOILLE,40.6337,-115.3703,40.6569,-115.4336,"Multiple locations experienced heavy rain, flooding, and debris flows due to slow-moving training storms.","At least 15 different debris flows were caused by previous thunderstorms/heavy rain during the afternoon. Multiple reports came from the US Forest Service, Elko County Road Department, and Nevada Department of Transportation. USFS 660 will be closed until further notice. The height of debris flows is estimated to be between 4 and 8 feet within a 4-mile length of road.",CSV
926,161261,976289,PENNSYLVANIA,2021,July,Flash Flood,7/17/21 18:45,5.00K,0.00K,Emergency Manager,Heavy Rain,N,EQUINUNK,1,EQUINUNK,41.85,-75.22,41.8581,-75.2199,Daytime heating helped fuel storms as they developed along a cold front that passed through Northeastern Pennsylvania. Locally heavy rainfall produced areas of flash flooding and related damages in the region.,A few roads were flooded along Equinunk Creek.,CSV
927,161261,976290,PENNSYLVANIA,2021,July,Flash Flood,7/17/21 18:45,3.00K,0.00K,Broadcast Media,Heavy Rain,N,GALILEE,1,GALILEE,41.74,-75.13,41.7402,-75.1449,Daytime heating helped fuel storms as they developed along a cold front that passed through Northeastern Pennsylvania. Locally heavy rainfall produced areas of flash flooding and related damages in the region.,Roads are covered with water in Galilee.,CSV
935,161629,977109,ARIZONA,2021,July,Flash Flood,7/23/21 16:31,100.00K,0.00K,Fire Department/Rescue,Heavy Rain,ENE,NEW RIVER,4,NEW RIVER,33.93,-112.07,33.9307,-112.07,"Strong to severe thunderstorms developed in an unstable atmosphere in the afternoon of the 22nd. Storms initially developed over the high terrain of northern and eastern Arizona as well as near the Table Top mesa area south of Phoenix. High DCAPE promoted strong thunderstorm downbursts. The downbursts generated outflows that progressed into the greater Phoenix metro area and led to the development of additional scattered thunderstorm. The thunderstorms in the metro area produced damaging winds that led to numerous downed trees, downed power poles, and other property damage. The storms were also nearly stationary, under weak steering flow, and produced very heavy rainfall with rain rates around 1.5-2.0 inches per hour and briefly higher in the strongest storms. This led to considerable flash flooding around Phoenix with several road closure and significant flow in major washes. Even after the strongest storms in Phoenix subsided in the late evening of the 22nd, areas of moderate to heavy rain continued from northeast to southwest through the night and through mid-afternoon on the 23rd. The continued rain through the 23rd was aided by a strengthening diffluent flow regime between the monsoon high to the north and a retrograding upper low moving west through New Mexico. Additional significant flash flooding was observed on the 23rd, mostly in the foothills north of the Phoenix metro, with many road closures, flowing washes and creeks, and some water rescues.","Two people had to be rescued from their mobile home near Central Avenue and Mingus Road after flood waters rapidly overcame the area. Water was reportedly flowing through their windows and there was concern that the home would flow away. They were rescued via helicopter because responders were unable to reach the home on the ground with multiple impassable flooded roads. Rain gages in the area measured over 1.5 inches of rain in less than an hour The two people were uninjured, but their two dogs did not survive.",CSV
962,161256,974787,PENNSYLVANIA,2021,July,Flash Flood,7/11/21 22:45,5.00K,0.00K,State Official,Heavy Rain,SSW,WINDHAM CENTER,3,WINDHAM CENTER,41.955,-76.3309,41.998,-76.356,"An unstable environment in Northeast Pennsylvania allowed for thunderstorms, triggered by a passing warm front, to become severe with torrential rainfall. These storms produced areas of flash flooding in Bradford county.",Route 187 was flooded in several locations.,CSV
963,161259,976111,PENNSYLVANIA,2021,July,Flash Flood,7/16/21 15:50,10.00K,0.00K,State Official,Heavy Rain,ESE,DUNMORE,0,DUNMORE,41.42,-75.63,41.4314,-75.6522,Heavy rain producing thunderstorms developed ahead of a cold front displacing warm and very humid air over Northeastern Pennsylvania. Torrential rainfall from consecutive rounds of thunderstorm activity produced areas of flash flooding and localized damage.,Many streets flooded in the area.,CSV
964,161259,976115,PENNSYLVANIA,2021,July,Flash Flood,7/16/21 15:55,5.00K,0.00K,Public,Heavy Rain,ENE,TAYLOR,2,TAYLOR,41.39,-75.7,41.3952,-75.6993,Heavy rain producing thunderstorms developed ahead of a cold front displacing warm and very humid air over Northeastern Pennsylvania. Torrential rainfall from consecutive rounds of thunderstorm activity produced areas of flash flooding and localized damage.,Oak Street was flooding from Keyser Creek. Road is closed and impassable.,CSV
1019,158482,958183,OHIO,2021,June,Flash Flood,6/30/21 22:45,20.00K,0.00K,NWS Employee,Heavy Rain,S,CUMMINGSVILLE,1,CUMMINGSVILLE,39.16,-84.53,39.1586,-84.5253,Thunderstorms developed ahead of a cold front moving through the Ohio Valley. Some of the storms produced heavy rainfall.,"Several vehicles were trapped and stranded due to high water along I-75, near mile marker 5.",CSV
1021,158483,958186,INDIANA,2021,June,Flash Flood,6/30/21 21:30,25.00K,0.00K,State Official,Heavy Rain,SW,ST PETERS,1,ST PETERS,39.31,-85.04,39.3104,-85.0371,Thunderstorms developed ahead of a cold front moving through the Ohio Valley. Some of the storms produced heavy rainfall.,Blue Creek Road was washed out near County Line Road.,CSV
1045,157828,953972,KENTUCKY,2021,June,Flash Flood,6/13/21 17:00,30.00K,0.00K,Law Enforcement,Heavy Rain,SSW,NEW,0,NEW,38.4273,-84.8018,38.4261,-84.8021,Showers and thunderstorms occurred along a cold front moving through the Ohio Valley during the afternoon hours. Some of the storms produced damaging winds and locally heavy rainfall.,A portion of Claxon Ridge Road was washed out along Elk Lick Creek.,CSV
1106,161876,977339,MISSISSIPPI,2021,June,Flash Flood,6/19/21 6:00,10.00K,0.00K,Emergency Manager,Heavy Rain,W,CARNES,5,CARNES,30.98,-89.34,30.96,-89.35,Heavy rainfall associated with Tropical Storm Claudette produced flash flooding in southeast Mississippi.,"Heavy rain associated with Tropical Storm Claudette caused flash flooding in far southern portions of Forrest County. A culvert along Joe Lee Road washed out, several roads in Brooklyn including Main Street and 4th street were flooded, and John Morris Road near Carnes was flooded over.",CSV
1185,161879,977349,MISSISSIPPI,2021,June,Flash Flood,6/24/21 19:30,31.00K,0.00K,Emergency Manager,Heavy Rain,E,WARDWELL STATION,1,WARDWELL STATION,31.331,-89.348,31.331,-89.351,Scattered thunderstorms in late June produced isolated damaging winds and flash flooding.,A few vehicles were stranded in street flooding along Thornhill Drive.,CSV
1190,160554,970172,MISSISSIPPI,2021,June,Flash Flood,6/8/21 15:30,25.00K,0.00K,Emergency Manager,Heavy Rain,N,TUTWILER,1,TUTWILER,34.02,-90.43,34.0068,-90.4227,"An upper low parked over the Mid-South resulted in widespread showers and thunderstorms across North Mississippi during the early morning hours of June 8, 2021. Some locations received up to 4 inches of rain before sunrise which set the stage for flash flooding later that morning into the afternoon as a mesoscale convective vortex pushed into the Mid-South. This feature resulted in several areas of showers and thunderstorms moving across North Mississippi during the day with numerous reports of flash flooding and 24-hour rainfall totals of more than 6 inches. During the afternoon enough surface-based instability developed to support a few severe storms with damaging winds and a weak tornado.",There was widespread flooding in the Tutwiler area. There were eight inches of water in at least two homes on West Street.,CSV
1317,158483,958185,INDIANA,2021,June,Flash Flood,6/30/21 21:30,10.00K,0.00K,Broadcast Media,Heavy Rain,ENE,LAWRENCEVILLE,1,LAWRENCEVILLE,39.29,-85.01,39.2906,-85.0058,Thunderstorms developed ahead of a cold front moving through the Ohio Valley. Some of the storms produced heavy rainfall.,Water was rushing over the road near the intersection of Trackville Road and Hickory Road. People needed to be rescued from a vehicle trapped in the high water along Trackville Road.,CSV
1328,157564,952485,OHIO,2021,June,Flash Flood,6/3/21 16:30,10.00K,0.00K,State Official,Heavy Rain,ESE,COLLEGE CORNER,1,COLLEGE CORNER,39.5674,-84.8137,39.5661,-84.8108,Showers and thunderstorms developed during the afternoon hours across the Ohio Valley ahead of an upper level low pressure system moving through the region.,Several people were rescued from their homes along Main Street due to rising water.,CSV
1364,161611,976349,ARIZONA,2021,July,Flash Flood,7/23/21 2:15,750.00K,0.00K,Emergency Manager,Heavy Rain,ESE,SAN MANUEL,2,DUDLEYVILLE,32.568,-110.4859,32.9684,-110.7399,"A number of rounds of thunderstorms were triggered by a westward moving upper level weather system across southeast Arizona from the afternoon of July 22 into the early morning of July 23. Thunderstorms produced wind damage and flash flooding in Douglas, Green Valley and the Tucson Metro area. Flooding also occurred along the San Pedro River as well as the Pantano Wash and Rillito River, and eventually downstream along the Santa Cruz River. In Graham County, 1 fatality occurred in a flash flood of the Cottonwood Wash near Pima on July 22.","Heavy rain of 1 to 1.5 fell in less than 1 hour along the entire length of the San Pedro River from San Manuel to Dudleyville and 3 fell near Dudleyville caused the river to rise rapidly, with a greater than 7 foot rise measured in one hour near Mammoth. Extensive flash flooding and severe damage to nearby roadways occurred in the San Manuel, Mammoth and Dudleyville areas.",CSV
1372,163032,984429,CALIFORNIA,2021,October,Flash Flood,10/21/21 22:30,3.20M,0.00K,Emergency Manager,Heavy Rain / Burn Area,NW,CARRVILLE,5,CARRVILLE,41.097,-122.7526,41.1101,-122.7882,"An atmospheric river aided in heavy rain development across the River Complex burn scar. One or possibly more debris flows occurred as a result. Removal, protective measures, and repair costs from this debris flow are estimated to be $3.2 million.","An atmospheric river aided in heavy rain development across the River Complex burn scar. One or possibly more debris flows occurred as a result. Removal, protective measures, and repair costs from this debris flow are estimated to be $3.2 million.",CSV
1390,163485,986929,NEW MEXICO,2021,July,Flash Flood,7/21/21 16:00,500.00K,0.00K,Department of Highways,Heavy Rain,NE,VADITO,0,PICURIS PUEBLO,36.1967,-105.673,36.2063,-105.7121,"With an area of high pressure centered over the Four Corners region, persistent northeasterly flow combined with sufficient low-level moisture supported another active monsoon day across northern and central New Mexico. Thunderstorm activity initiated over the northern high terrain by early afternoon, and thunderstorms intensified as the afternoon progressed as they tracked in a general southeasterly direction. One particular thunderstorm near Picuris Pueblo in Taos County produced as estimated 1.5 to 4 inches of rainfall within about three hours. This resulted in flash flooding within the area that caused significant damage to structures.","An estimated 1.5 to 4 inches of heavy rainfall over the course of 3 hours resulted in flash flooding across the historic Picuris Pueblo. As water over topped an arroyo, flood waters rapidly entered the tribal administration building which sustained damages to the flooring. A gym, senior center, and transportation building were also hit hard by the flood waters which also all sustained various amounts of floor damage. Several grave markers in the tribal cemetery were dislodged by the flood waters. Damages to a hydrologic weir that feeds the fish hatchery pond, which houses about 5,000 fish, were also reported. No injuries or fatalities were reported, and damages are estimated.",CSV
2042,158759,959937,TEXAS,2021,May,Flash Flood,5/1/21 5:00,30.00K,0.00K,Law Enforcement,Heavy Rain,NW,BLOOMINGTON,2,BLOOMINGTON,28.6607,-96.8947,28.6541,-96.9062,A slow moving upper low over northern Mexico interacted with deep moisture over the Coastal Bend to produce widespread showers and thunderstorms during the early morning hours of the 1st. Locally heavy rainfall led to flooding of roads from Corpus Christi to Victoria.,State Highway 185 was closed due to flooding in Bloomington with cars stalled from 3rd to 8th Streets.,CSV
2043,158759,959939,TEXAS,2021,May,Flash Flood,5/1/21 4:00,50.00K,0.00K,Law Enforcement,Heavy Rain,WNW,ROCKPORT,1,ROCKPORT,28.03,-97.08,28.0102,-97.0602,A slow moving upper low over northern Mexico interacted with deep moisture over the Coastal Bend to produce widespread showers and thunderstorms during the early morning hours of the 1st. Locally heavy rainfall led to flooding of roads from Corpus Christi to Victoria.,Roads under water in Rockport with cars stuck in the flood waters.,CSV
2133,159849,968189,WISCONSIN,2021,August,Flash Flood,8/11/21 17:30,10.00K,0.00K,Law Enforcement,Heavy Rain,WNW,WIEN,1,EDGAR,44.9118,-90.1007,44.9392,-89.9645,"Thunderstorms developed ahead of a cold front during the afternoon across northeast Wisconsin.  The strongest storms produced wind damage, large hail and 2 tornadoes. Rainfall amounts of 2 to 4 inches fell across central and southern Marathon County, producing flash flooding across these areas.",Thunderstorms dumped 2 to 4 inches of rain over central and southern Marathon County during the afternoon hours. This caused several roads to be closed due to flash flooding.,CSV
2160,160373,970467,ALABAMA,2021,June,Flash Flood,6/19/21 22:45,3.35M,0.00K,Emergency Manager,Heavy Rain,NE,COKER,8,FOX,33.241,-87.689,33.381,-87.464,"Heavy rainfall and strong winds impacted much of Central Alabama June 19-20 as the Tropical Depression Claudette moved across the area. Significant flooding occurred along the I-20 corridor where storm total amounts were in the 3-6 inch range, with isolated amounts near 8 inches.  Near Tuscaloosa, a private dam failed and the subsequent flooding washed out a water and sewer main at Nucor Corporation���s steel plant. This in turn damaged the city's sewage system, prompting officials to issue water restrictions for 100,000 people. Flooding destroyed five homes and severely damaged thirty-eight in Northport and Tuscaloosa. Residential and infrastructure damage between the two cities reached $3.35 million. Two fatalities occurred in Tuscaloosa County when a large tree fell on a mobile home.",Heavy rainfall associated with Tropical Depression Claudette produced widespread flooding across Tuscaloosa County. Many homes and businesses were damaged or destroyed. Flooding destroyed 5 homes and severely damaged 38 in Northport and Tuscaloosa. One-hundred people were displaced when the Willowbrook Trailer Park in Northport was severely flooded. Residential and infrastructure damage between the two cities reached $3.35 million.,CSV
2734,157879,954323,LOUISIANA,2021,April,Flash Flood,4/15/21 5:59,50.00K,0.00K,Public,Heavy Rain,E,MANDEVILLE,1,MANDEVILLE,30.3633,-90.0707,30.3627,-90.0713,A line of thunderstorms moving along a stalled frontal boundary draped across the coastal waters produced localized flash flooding and hail.,Heavy rainfall lead to flash flooding and a home taking on water in Old Mandeville.,CSV
2819,157089,949529,NEW MEXICO,2021,May,Flash Flood,5/15/21 18:30,250.00K,0.00K,Trained Spotter,Heavy Rain,SSE,PORTALES,1,PORTALES,34.1544,-103.3136,34.1811,-103.3132,"Surface southeasterly flow continued over eastern New Mexico which trended moisture upward across the area. With another day of warming temperatures and an unstable atmosphere, strong to severe thunderstorms once again impacted the eastern plains of New Mexico on May 15, 2021. By early afternoon, thunderstorms developed along the northern and southern high terrain of New Mexico. As they tracked eastward onto lower elevations, they moved into a more unstable and sheared environment where they quickly intensified. The most significant damage occurred in Portales where hail up to the size of half dollars was reported. Additionally, the general slow movement of these thunderstorms near the New Mexico and Texas state line resulted in heavy rainfall and flash flooding in Portales. A water rescue was conducted for a family who attempted to drive through the flooded roadways.","Slow-moving thunderstorms in the Portales area produced three to four inches of rainfall in a short period of time. This led to flash flooding in the area where a trained spotter reported some roadways were under 2 feet of water. The Portales Fire Department had to perform a water rescue for a family of three which included two children after their car was swept into a drainage ditch. The family was traveling along 18th Street when their car was swept by the flooded waters and pushed into a culvert headed south along S Globe Street. Their car eventually came to a stop against a pipe that was across the culvert. The family was rescued about 45 minutes after the first 911 call, and no injuries were reported. Damages are estimated for the loss of the car as well as rough estimates for water damages to an unknown amount of structures.",CSV
2893,156386,944337,TENNESSEE,2021,February,Flash Flood,2/28/21 18:00,15.00K,0.00K,Trained Spotter,Heavy Rain,N,TIPTONVILLE,1,TIPTONVILLE,36.38,-89.48,36.3821,-89.4695,A cold front pushed into an unstable and very moist airmass to produce numerous showers and thunderstorms north of Interstate 40 during the afternoon of February 28th. Storms eventually evolved into a line and pushed southeast across the Mid-South. A few severe storms occurred. Heavy rainfall over already saturated soils resulting in some flash flooding.,Flooding occurred across Tiptonville. Several inches of water flooded one structure.,CSV
3452,156386,944341,TENNESSEE,2021,February,Flash Flood,2/28/21 21:30,25.00K,0.00K,Newspaper,Heavy Rain,SSW,SOUTH MIDWAY,2,SPRINGVILLE,36.252,-88.4789,36.272,-88.1813,A cold front pushed into an unstable and very moist airmass to produce numerous showers and thunderstorms north of Interstate 40 during the afternoon of February 28th. Storms eventually evolved into a line and pushed southeast across the Mid-South. A few severe storms occurred. Heavy rainfall over already saturated soils resulting in some flash flooding.,Several roads were closed in Henry County due to flooding. Paschall Cemetery Road northwest of Puryear was washed out. Other closed roads include Dale Cemetery Road and Freeland Road near Buchanan. Highway 69 South and Bethesda Road were flooded in Paris.,CSV
4363,157785,956879,INDIANA,2021,June,Flash Flood,6/12/21 23:30,5.00K,0.00K,911 Call Center,Heavy Rain,NW,WINCHESTER,1,WINCHESTER,40.1828,-84.9924,40.1654,-84.9932,"During the late evening hours of June 12th, a series of thunderstorms slowly moved through central Indiana from the north.  An outflow boundary in eastern Marion county led to additional thunderstorm growth north of Indianapolis that eventually would bring damaging winds and large hail to portions of Indianapolis and western Hancock County. Slow storm motions and backbuilding led to some areas to receive up to 3 inches of rain which caused isolated flash flooding.  Over 20,000 power outages were caused by the thunderstorms with some noted to be from lightning strikes and others from tree and power pole damage.",Water flowing over a road in Winchester with standing water noted along many side streets in town.,CSV
4471,157952,954734,TEXAS,2021,May,Flash Flood,5/17/21 20:59,5.00K,0.00K,Public,Heavy Rain,S,SOUTH HAVEN,1,SOUTH HAVEN,32.1629,-101.4767,32.1712,-101.4766,"An upper level low pressure system was approaching the region from the west. There was a dryline across the Permian Basin and Lower Trans Pecos which aided in atmospheric lift. There were lots of boundaries from previous thunderstorms across the area. High values of moisture, instability, and wind shear were present. These conditions resulted in thunderstorms that produced hail, strong winds, and flash flooding across the Permian Basin and the Lower Trans Pecos.",Heavy rain produced flash flooding near Elbow. There were roads flooded and cars were stranded. The cost of damage is a very rough estimate.,CSV
4512,157173,950128,MISSISSIPPI,2021,February,Flash Flood,2/11/21 12:45,20.00K,0.00K,Emergency Manager,Heavy Rain,NNW,COLUMBIA,2,COLUMBIA,31.27,-89.84,31.2702,-89.8412,Flash flooding occured.,Flash flooding reported at Pineview Drive. Water began entering a residential home.,CSV
4513,157173,950131,MISSISSIPPI,2021,February,Flash Flood,2/11/21 12:45,25.00K,0.00K,Law Enforcement,Heavy Rain,SW,COLUMBIA,1,COLUMBIA,31.2426,-89.8391,31.248,-89.8066,Flash flooding occured.,Multiple city streets flooded along with parking lots under water. Water is also inside one home of a special needs person. Fire department and the police deployed sandbags.,CSV
4614,157785,956881,INDIANA,2021,June,Flash Flood,6/13/21 1:25,2.00K,0.00K,Public,Heavy Rain,NNE,WOODRUFF PLACE,1,BEECH GROVE,39.794,-86.0705,39.7041,-86.0653,"During the late evening hours of June 12th, a series of thunderstorms slowly moved through central Indiana from the north.  An outflow boundary in eastern Marion county led to additional thunderstorm growth north of Indianapolis that eventually would bring damaging winds and large hail to portions of Indianapolis and western Hancock County. Slow storm motions and backbuilding led to some areas to receive up to 3 inches of rain which caused isolated flash flooding.  Over 20,000 power outages were caused by the thunderstorms with some noted to be from lightning strikes and others from tree and power pole damage.",Video received via social media showing water flowing over a road in Irvington.,CSV
4690,157128,949762,KENTUCKY,2021,April,Flash Flood,4/29/21 17:00,10.00K,0.00K,Trained Spotter,Heavy Rain,NE,MORTONS GAP,1,MORTONS GAP,37.25,-87.46,37.2477,-87.4649,A stronger and slow-moving front moved across the region during the April 28-29 time period. Numerous rounds of showers and storms produced very heavy rainfall.,"One foot of water was flowing over Flat Creek Road, making it impassable. There was some flooding of a nearby logging business.",CSV
4720,158010,954997,TEXAS,2021,May,Flash Flood,5/19/21 5:50,4.00K,0.00K,Public,Heavy Rain,NW,COAHOMA,6,(BGS)BIG SPRING ARPT,32.3819,-101.3969,32.3826,-101.397,"An upper level low was over the Texas panhandle. There was a weak frontal boundary across the area along with outflows from earlier thunderstorms. High moisture was across the Permian Basin and Lower Trans Pecos east of the dryline. These conditions resulted in thunderstorms that produced hail, flash flooding, and wind damage across the Permian Basin and Lower Trans Pecos.",Heavy rain resulted in flash flooding eight miles northwest of Coahoma. There was over six inches of water on the road near a creek. Some vehicles got stranded on the road. The cost of damage is a very rough estimate.,CSV
5471,160150,967926,TEXAS,2021,June,Flash Flood,6/3/21 17:50,10.00K,0.00K,Public,Heavy Rain,N,ORANGE GROVE,2,ORANGE GROVE,27.97,-97.93,27.9499,-97.9537,"An upper level disturbance moving into the Hill Country interacted with deep moisture over south Texas to produce a line of thunderstorms during the afternoon of the 3rd.|As the storms moved across south Texas, locally heavy rainfall occurred with 3 to 5 inches of rainfall from Alice to Beeville. The heavy rainfall produced flash flooding, causing some roads to be closed.",An Mping report was received of a creek overflowing that flooded a basement near Orange Grove.,CSV
5472,160150,967927,TEXAS,2021,June,Flash Flood,6/3/21 17:55,10.00K,0.00K,Law Enforcement,Heavy Rain,SSE,BEEVILLE,1,BEEVILLE,28.3733,-97.7374,28.384,-97.7363,"An upper level disturbance moving into the Hill Country interacted with deep moisture over south Texas to produce a line of thunderstorms during the afternoon of the 3rd.|As the storms moved across south Texas, locally heavy rainfall occurred with 3 to 5 inches of rainfall from Alice to Beeville. The heavy rainfall produced flash flooding, causing some roads to be closed.",Water covered the roadway on Farm to Market Road 888 just south of Highway 351 on the south side of Beeville.,CSV
5487,160150,967929,TEXAS,2021,June,Flash Flood,6/3/21 17:45,10.00K,0.00K,Law Enforcement,Heavy Rain,S,SKIDMORE,3,SKIDMORE,28.1776,-97.68,28.2124,-97.6819,"An upper level disturbance moving into the Hill Country interacted with deep moisture over south Texas to produce a line of thunderstorms during the afternoon of the 3rd.|As the storms moved across south Texas, locally heavy rainfall occurred with 3 to 5 inches of rainfall from Alice to Beeville. The heavy rainfall produced flash flooding, causing some roads to be closed.",Highway 359 was closed due to water over the road between Skidmore and Tynan.,CSV
